question_id;forecast_version;option;probability
q1;bioscancast@2025-02-17;70-100;0,969651792406
q1;bioscancast@2025-02-17;100-150;0,026258338114
q1;bioscancast@2025-02-17;150-200;0,003322071015
q1;bioscancast@2025-02-17;200+;0,000767798464
q1;bioscancast@2025-02-20;70-100;0,978101723325
q1;bioscancast@2025-02-20;100-150;0,020290419641
q1;bioscancast@2025-02-20;150-200;0,001234104308
q1;bioscancast@2025-02-20;200+;0,000373752725
q1;bioscancast@2025-02-24;70-100;0,983592891363
q1;bioscancast@2025-02-24;100-150;0,012312603858
q1;bioscancast@2025-02-24;150-200;0,002995509750
q1;bioscancast@2025-02-24;200+;0,001098995030
