question_id;forecast_version;option;probability
q7;bioscancast@2025-02-24;124,831-126,000;0,000000000000
q7;bioscancast@2025-02-24;126,001-128,500;0,000000000000
q7;bioscancast@2025-02-24;128,501-131,000;0,920002016277
q7;bioscancast@2025-02-24;131,001+;0,079997983723
q7;bioscancast_baseline@2025-02-24;124,831-126,000;0,250000000000
q7;bioscancast_baseline@2025-02-24;126,001-128,500;0,250000000000
q7;bioscancast_baseline@2025-02-24;128,501-131,000;0,250000000000
q7;bioscancast_baseline@2025-02-24;131,001+;0,250000000000
q7;bioscancast@2025-02-25;124,831-126,000;0,000000000000
q7;bioscancast@2025-02-25;126,001-128,500;0,000000000001
q7;bioscancast@2025-02-25;128,501-131,000;0,745159154031
q7;bioscancast@2025-02-25;131,001+;0,254840845968
q7;bioscancast_baseline@2025-02-25;124,831-126,000;0,250000000000
q7;bioscancast_baseline@2025-02-25;126,001-128,500;0,250000000000
q7;bioscancast_baseline@2025-02-25;128,501-131,000;0,250000000000
q7;bioscancast_baseline@2025-02-25;131,001+;0,250000000000
q7;bioscancast@2025-02-26;124,831-126,000;0,000000000000
q7;bioscancast@2025-02-26;126,001-128,500;0,000000000000
q7;bioscancast@2025-02-26;128,501-131,000;0,743264991607
q7;bioscancast@2025-02-26;131,001+;0,256735008393
q7;bioscancast_baseline@2025-02-26;124,831-126,000;0,250000000000
q7;bioscancast_baseline@2025-02-26;126,001-128,500;0,250000000000
q7;bioscancast_baseline@2025-02-26;128,501-131,000;0,250000000000
q7;bioscancast_baseline@2025-02-26;131,001+;0,250000000000
q7;bioscancast@2025-02-27;124,831-126,000;0,000000000000
q7;bioscancast@2025-02-27;126,001-128,500;0,000000000000
q7;bioscancast@2025-02-27;128,501-131,000;0,971952660722
q7;bioscancast@2025-02-27;131,001+;0,028047339278
q7;bioscancast_baseline@2025-02-27;124,831-126,000;0,250000000000
q7;bioscancast_baseline@2025-02-27;126,001-128,500;0,250000000000
q7;bioscancast_baseline@2025-02-27;128,501-131,000;0,250000000000
q7;bioscancast_baseline@2025-02-27;131,001+;0,250000000000
